CC,CCL,CCO,CI,CLC,CLLC,McCC,NL,NLE,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HOR_D,HOR_T,HON_D,HON_T,HLEN,HVOC,HDIFF,HVOL,HEFF,HBUGS,HTIME,CYCL,PARAMS,CYCL_DENS,Vuln,repo,holdout
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.00862069,1,18,25,10,2,115,125,83,7,37,14,41,78,21,10.25,342.6007589767433,3511.6577795116195,0.1142002529922477,195.09209886175665,3,2,30.0,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,11,3,3,0.0416667,1,0,0.0416667,1,23,26,22,3,23,26,22,16,74,32,86,160,48,21.5,893.5940001153849,19212.27100248077,0.2978646667051283,1067.3483890267098,9,3,37.5,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,1,4,24,24,15,3,4,7,9,13,10,1.9285714285714288,43.18506523353572,83.28548295039032,0.0143950217445119,4.626971275021685,1,4,100.0,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,1,4,44,44,27,3,4,7,9,13,10,1.9285714285714288,43.18506523353572,83.28548295039032,0.0143950217445119,4.626971275021685,1,4,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,2,2,0.0,0,0,0.0,0,14,14,9,3,14,14,9,10,33,27,47,80,37,8.703703703703704,416.756269250316,3627.3230842157136,0.138918756416772,201.5179491230952,3,3,30.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,6,4,3,0.0,0,0,0.0,0,17,17,11,2,22,22,14,9,41,23,52,93,32,10.17391304347826,465.0,4730.869565217391,0.155,262.8260869565217,6,2,40.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,7,3,3,0.0,0,0,0.0,0,42,42,25,2,42,42,26,17,106,58,127,233,75,18.61206896551724,1451.3147548855402,27011.970308602427,0.4837715849618467,1500.6650171445792,5,2,14.705882352941178,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,7,7,3,2,7,7,3,5,9,9,17,26,14,4.722222222222222,98.9912279734977,467.45857654151695,0.0329970759911659,25.969920918973163,2,2,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,1,1,1,3,3,4,4,0.5,8.0,4.0,0.0026666666666666,0.2222222222222222,1,0,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.294872,23,0,0.194915,23,55,103,1,1,95,143,34,4,53,29,54,107,33,3.724137931034482,539.7501707713545,2010.104084251941,0.1799167235904515,111.67244912510785,1,1,3.7037037037037033,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,7,7,3,1,7,7,3,5,8,5,8,16,10,4.0,53.1508495181978,212.6033980727912,0.0177169498393992,11.811299892932844,2,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,7,7,3,1,7,7,3,5,8,5,8,16,10,4.0,53.1508495181978,212.6033980727912,0.0177169498393992,11.811299892932844,2,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,7,7,3,1,7,7,3,5,8,5,8,16,10,4.0,53.1508495181978,212.6033980727912,0.0177169498393992,11.811299892932844,2,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,7,7,3,1,7,7,3,6,9,6,9,18,12,4.5,64.52932501298082,290.3819625584137,0.0215097750043269,16.132331253245205,2,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,4,4,3,2,4,4,3,4,6,5,8,14,9,3.2,44.37895002019238,142.01264006461562,0.0147929833400641,7.889591114700868,2,2,66.66666666666666,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,6,7,9,15,11,2.571428571428572,51.89147427955947,133.43521957601007,0.0172971580931864,7.413067754222782,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,4,5,9,7,1.875,25.26619429851844,47.37411430972208,0.0084220647661728,2.6318952394290043,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,4,7,6,9,16,10,3.0,53.1508495181978,159.45254855459342,0.0177169498393992,8.858474919699635,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,4,5,9,7,1.875,25.26619429851844,47.37411430972208,0.0084220647661728,2.6318952394290043,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,4,5,9,7,1.875,25.26619429851844,47.37411430972208,0.0084220647661728,2.6318952394290043,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,5,7,9,14,11,2.571428571428572,48.43204266092217,124.53953827094274,0.0161440142203073,6.918863237274596,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,4,6,6,8,14,10,2.6666666666666665,46.50699332842308,124.01864887579488,0.0155023311094743,6.889924937544159,1,1,100.0,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,3,3,4,7,6,2.0,18.09473750504809,36.18947501009619,0.0060315791683493,2.0105263894497885,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,5,6,8,13,10,2.6666666666666665,43.18506523353572,115.16017395609524,0.0143950217445119,6.397787442005291,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,4,5,7,11,9,2.8,34.86917501586544,97.63369004442322,0.0116230583386218,5.424093891356845,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,4,5,7,11,9,2.8,34.86917501586544,97.63369004442322,0.0116230583386218,5.424093891356845,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,3,3,4,7,6,2.0,18.09473750504809,36.18947501009619,0.0060315791683493,2.0105263894497885,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,4,5,7,11,9,2.8,34.86917501586544,97.63369004442322,0.0116230583386218,5.424093891356845,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,2,3,3,1,4,4,5,7,11,9,2.8,34.86917501586544,97.63369004442322,0.0116230583386218,5.424093891356845,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,5,5,9,8,1.5,27.0,40.5,0.009,2.25,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,5,5,9,8,1.5,27.0,40.5,0.009,2.25,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,5,5,9,8,1.5,27.0,40.5,0.009,2.25,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,4,5,5,9,8,1.5,27.0,40.5,0.009,2.25,1,1,100.0,0,actionhero/actionhero,False
0.119628,1,12,2,0.091954,0,2,1,1,0.371429,26,0,0.105096,33,44,92,22,2,281,348,227,7,87,24,88,175,31,12.833333333333332,866.9843543177033,11126.299213743858,0.2889947847725677,618.127734096881,2,2,9.090909090909092,1,actionhero/actionhero,False
0.936364,1,12,2,0.820513,0,11,4,4,0.0,0,0,0.0,0,38,39,22,3,38,39,22,13,94,16,108,202,29,43.875,981.3121610157696,43055.071064566895,0.3271040536719232,2391.948392475939,7,3,25.0,0,actionhero/actionhero,False
