AVGNOAL,AVGNODL,AVGNOEMT,AVGNOML,AVGTBC,CC,CCL,CCO,CChurn,CD,CI,CLC,CLLC,CLOC,CYCL,CYCL_DENS,DLOC,HBUGS,HDIFF,HEFF,HLEN,HON_D,HON_T,HOR_D,HOR_T,HTIME,HVOC,HVOL,LDC,LLDC,LLOC,LOC,MNOAL,MNODL,MNOEMT,MNOML,McCC,NII,NL,NLE,NOADD,NOCC,NOCHG,NOContr,NODEL,NOI,NOMOD,NOS,NUMPAR,PARAMS,SOADD,SODEL,SOMOD,TCD,TCLOC,TLLOC,TLOC,TNOS,Vuln,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,repo
8.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4,80.0,0.0,0.0346546375069711,5.7142857142857135,594.0795001195057,29,7,16,5,13,33.00441667330588,12,103.96391252091354,0.0,0.0,8.0,8.0,8.0,0.0,84.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
19.0,0.0,84.0,0.0,0.0,1.0,1.0,5.0,19.0,0.13333334,1.0,1.0,1.0,2.0,5,62.5,0.0,0.0637189127016537,13.333333333333332,2548.756508066151,45,9,24,10,21,141.59758378145284,19,191.1567381049613,19.0,13.0,13.0,19.0,19.0,0.0,84.0,0.0,5.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0,19.0,0.0,0.0,0.13333334,2.0,13.0,19.0,8.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
10.5,0.0,28.666666,6.5,71.5,0.0,0.0,0.0,21.0,0.1764706,0.0,0.0,0.0,3.0,3,27.27272727272727,0.0,0.0882332676057197,6.611111111111112,1749.959807513442,57,18,34,7,23,97.21998930630234,25,264.6998028171593,0.0,0.0,14.0,21.0,17.0,0.0,84.0,12.0,3.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,11.0,2.0,2,21.0,0.0,13.0,0.1764706,3.0,14.0,21.0,11.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
4.5,1.0,44.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2,40.0,0.0,0.0266514844544032,7.333333333333332,586.3326579968709,21,6,11,8,10,32.57403655538172,14,79.95445336320968,0.0,0.0,6.0,7.0,6.0,1.0,84.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0,9.0,1.0,0.0,0.0,0.0,6.0,7.0,4.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
10.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1,14.285714285714285,0.0,0.0394345875079327,4.75,561.9428719880414,33,8,19,4,14,31.219048443780075,12,118.30376252379816,0.0,0.0,10.0,10.0,10.0,0.0,84.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
6.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3,100.0,0.0,0.0373333333333333,7.5,840.0,28,8,15,8,13,46.66666666666666,16,112.0,0.0,0.0,5.0,6.0,6.0,0.0,84.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0,6.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
6.0,0.0,44.5,3.0,620.0,0.0,0.0,0.0,6.0,0.625,0.0,0.0,0.0,10.0,5,125.0,10.0,0.0354338996787985,4.285714285714286,455.5787101559811,32,7,20,3,12,25.309928341998948,10,106.3016990363956,0.0,0.0,6.0,6.0,6.0,0.0,84.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,4.0,4,6.0,0.0,3.0,0.625,10.0,6.0,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6111111,0.0,0.0,0.0,11.0,6,120.0,11.0,0.0477995000096154,4.166666666666666,597.4937501201928,40,9,25,3,15,33.194097228899594,12,143.39850002884626,0.0,0.0,7.0,7.0,7.0,0.0,84.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,5,7.0,0.0,0.0,0.6111111,11.0,7.0,7.0,6.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
26.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,26.0,0.18181819,0.0,0.0,0.0,4.0,5,35.714285714285715,0.0,0.1538353575058433,19.5,8999.368414091834,96,16,52,12,44,499.9649118939908,28,461.50607251753,0.0,0.0,18.0,26.0,26.0,0.0,84.0,0.0,6.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,1,26.0,0.0,0.0,0.18181819,4.0,18.0,26.0,11.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
19.0,0.0,4.0,0.0,0.0,1.0,1.0,5.0,19.0,0.13333334,1.0,1.0,1.0,2.0,5,62.5,0.0,0.0637189127016537,13.333333333333332,2548.756508066151,45,9,24,10,21,141.59758378145284,19,191.1567381049613,19.0,13.0,13.0,19.0,19.0,0.0,4.0,0.0,5.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0,19.0,0.0,0.0,0.13333334,2.0,13.0,19.0,8.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
